Course Code,Course description,Grade,Pathway or destination,Enrolment
TMO3E,Manufacturing Technology: Machine Operator,Grade 11,Workplace Preparation (Grade 11 & 12 level),24
TMO4E,Manufacturing Technology: Machine Operator,Grade 12,Workplace Preparation (Grade 11 & 12 level),<10
TMP3C,Manufacturing Technology: Precision Machining,Grade 11,College Preparation (Grade 11 & 12 level),186
TMP4C,Manufacturing Technology: Precision Machining,Grade 12,College Preparation (Grade 11 & 12 level),104
TMR3M,Manufacturing Engineering Technology: Robotics and Control Systems,Grade 11,University/College Preparation (Grade 11 & 12 level),164
TMR4M,Manufacturing Engineering Technology: Robotics and Control Systems,Grade 12,University/College Preparation (Grade 11 & 12 level),38
TMS3E,Manufacturing Technology: Sheet Metal,Grade 11,Workplace Preparation (Grade 11 & 12 level),34
TMS4E,Manufacturing Technology: Sheet Metal,Grade 12,Workplace Preparation (Grade 11 & 12 level),<10
TMT4C,Manufacturing Technology: Robotics and Control Systems Technician,Grade 12,College Preparation (Grade 11 & 12 level),<10
TMW3E,Manufacturing Technology: Welding,Grade 11,Workplace Preparation (Grade 11 & 12 level),1018
TMW4E,Manufacturing Technology: Welding,Grade 12,Workplace Preparation (Grade 11 & 12 level),507
TMY3C,Manufacturing Technology: Welding Technician,Grade 11,College Preparation (Grade 11 & 12 level),408
TMY4C,Manufacturing Technology: Welding Technician,Grade 12,College Preparation (Grade 11 & 12 level),192
TOC4C,Child Development and Gerontology: Child Development,Grade 12,College Preparation (Grade 11 & 12 level),43
TOJ4C,Child Development and Gerontology,Grade 12,College Preparation (Grade 11 & 12 level),1695
TPD3M,Health Care: Dental Services,Grade 11,University/College Preparation (Grade 11 & 12 level),<10
TPD4M,Health Care: Dental Services,Grade 12,University/College Preparation (Grade 11 & 12 level),10
TPE3E,Hairstyling and Aesthetics,Grade 11,Workplace Preparation (Grade 11 & 12 level),<10
TPJ1O,Exploring Health Care,Grade 9,Open (Grade 9 - 12 level),191
TPJ2O,Health Care,Grade 10,Open (Grade 9 - 12 level),978
TPJ3C,Health Care,Grade 11,College Preparation (Grade 11 & 12 level),2732
TPJ3M,Health Care,Grade 11,University/College Preparation (Grade 11 & 12 level),3295
TPJ4C,Health Care,Grade 12,College Preparation (Grade 11 & 12 level),1103
TPJ4E,Health Care: Support Services,Grade 12,Workplace Preparation (Grade 11 & 12 level),174
TPJ4M,Health Care,Grade 12,University/College Preparation (Grade 11 & 12 level),1234
TPM4M,Health Care: Nursing/Medical Services,Grade 12,University/College Preparation (Grade 11 & 12 level),<10
TPO4C,Child Development and Gerontology,Grade 12,College Preparation (Grade 11 & 12 level),29
TPT4M,Health Care: Therapy Services,Grade 12,University/College Preparation (Grade 11 & 12 level),16
TTA3C,Transportation Technology: Auto Service,Grade 11,College Preparation (Grade 11 & 12 level),1917
TTA4C,Transportation Technology: Auto Service,Grade 12,College Preparation (Grade 11 & 12 level),1004
TTB3C,Transportation Technology: Auto Body,Grade 11,College Preparation (Grade 11 & 12 level),757
TTB4C,Transportation Technology: Auto Body,Grade 12,College Preparation (Grade 11 & 12 level),356
TTH3C,Transportation Technology: Heavy Duty and Agricultural Equipment,Grade 11,College Preparation (Grade 11 & 12 level),84
TTH4C,Transportation Technology: Heavy Duty and Agricultural Equipment,Grade 12,College Preparation (Grade 11 & 12 level),40
TTI1O,Integrated Technologies,Grade 9,Open (Grade 9 - 12 level),305
TTJ1O,Exploring Transportation Technology,Grade 9,Open (Grade 9 - 12 level),1443
TTJ2O,Transportation Technology,Grade 10,Open (Grade 9 - 12 level),17653
TTJ3C,Transportation Technology,Grade 11,College Preparation (Grade 11 & 12 level),15441
TTJ3E,Transportation Technology,Grade 11,Workplace Preparation (Grade 11 & 12 level),115
TTJ3O,Transportation Technology: Vehicle Ownership,Grade 11,Open (Grade 9 - 12 level),2567
TTJ4C,Transportation Technology,Grade 12,College Preparation (Grade 11 & 12 level),6748
TTJ4E,Transportation Technology: Vehicle Maintenance,Grade 12,Workplace Preparation (Grade 11 & 12 level),1774
TTL3C,Transportation Technology: Light Aircraft,Grade 11,College Preparation (Grade 11 & 12 level),43
TTL4C,Transportation Technology: Light Aircraft,Grade 12,College Preparation (Grade 11 & 12 level),12
TTS3C,Transportation Technology: Small Engine and Recreational Equipment,Grade 11,College Preparation (Grade 11 & 12 level),859
TTS4C,Transportation Technology: Small Engine and Recreational Equipment,Grade 12,College Preparation (Grade 11 & 12 level),198
TTT3C,Transportation Technology: Truck and Coach,Grade 11,College Preparation (Grade 11 & 12 level),52
TTT4C,Transportation Technology: Truck and Coach,Grade 12,College Preparation (Grade 11 & 12 level),30
TWJ3E,Custom Woodworking,Grade 11,Workplace Preparation (Grade 11 & 12 level),6025
TWJ4E,Custom Woodworking,Grade 12,Workplace Preparation (Grade 11 & 12 level),2262
TXA3E,Hairstyling and Aesthetics: Aesthetics,Grade 11,Workplace Preparation (Grade 11 & 12 level),209
TXA4E,Hairstyling and Aesthetics: Aesthetics,Grade 12,Workplace Preparation (Grade 11 & 12 level),137
TXH3E,Hairstyling and Aesthetics: Hairstyling,Grade 11,Workplace Preparation (Grade 11 & 12 level),546
TXH4E,Hairstyling and Aesthetics: Hairstyling,Grade 12,Workplace Preparation (Grade 11 & 12 level),221
TXJ1O,Exploring Hairstyling and Aesthetics,Grade 9,Open (Grade 9 - 12 level),1185
TXJ2O,Hairstyling and Aesthetics,Grade 10,Open (Grade 9 - 12 level),7326
TXJ3E,Hairstyling and Aesthetics,Grade 11,Workplace Preparation (Grade 11 & 12 level),6094
TXJ4E,Hairstyling and Aesthetics,Grade 12,Workplace Preparation (Grade 11 & 12 level),2136
